llave,imdbtitle,imdbyear
"die,mom03die!","Die, Mommie, Die!",2003
dieanot02rday,Die Another Day,2002
diefals07cher,Die Fälscher,2007
diefett04rbei,Die fetten Jahre sind vorbei,2004
diefrau09nten,Die Frau mit den 5 Elefanten,2009
diefrem10emde,Die Fremde,2010
diegeli14tern,Die geliebten Schwestern,2014
diegesc03amel,Die Geschichte vom weinenden Kamel,2003
diegros05ille,Die große Stille,2005
diehohl05ndes,Die Höhle des gelben Hundes,2005
diekrie00erin,Der Krieger und die Kaiserin,2000
dieuest01tite,"Dieu est grand, je suis toute petite",2001
diewand12wand,Die Wand,2012
difret14fret,Difret,2014
dig!04dig!,Dig!,2004
diggers06gers,Diggers,2006
digging14rrow,Digging Up the Marrow,2014
digging15fire,Digging for Fire,2015
digimon00ovie,Digimon: The Movie,2000
dilemma11emma,The Dilemma,2011
diminis08city,Diminished Capacity,2008
dinnerf10ucks,Dinner for Schmucks,2010
dinnerr00rush,Dinner Rush,2000
dinosau00saur,Dinosaur,2000
dioretm14tmoi,Dior et Moi,2014
diosmom06momo,A dios momo,2006
diploma14atie,Diplomatie,2014
direkto06hele,Direktøren for det hele,2006
direnji10iguo,Di renjie: Tong tian di guo,2010
dirty05irty,Dirty,2005
dirtyda04ghts,Dirty Dancing: Havana Nights,2004
dirtyde05eeds,Dirty Deeds,2005
dirtygi10girl,Dirty Girl,2010
dirtygr16ndpa,Dirty Grandpa,2016
dirtyla06dryi,Dirty Laundry,2006
dirtylo05love,Dirty Love,2005
dirtypr02ings,Dirty Pretty Things,2002
dirtysh04hame,A Dirty Shame,2004
dirtywa13wars,Dirty Wars,2013
disappe06nces,Disappearances,2006
disappe09reed,The Disappearance of Alice Creed,2009
disappo16room,The Disappointments Room,2016
disaste08ovie,Disaster Movie,2008
dischor01hord,Dischord,2001
disconn12ecti,Disconnect,2012
discove12rers,The Discoverers,2012
disgrac08race,Disgrace,2008
dish00dish,The Dish,2000
dishoom16hoom,Dishoom,2016
disleck12ovie,Dislecksia: The Movie,2012
distric09ict9,District 9,2009
disturb07rbia,Disturbia,2007
disturb16eace,Disturbing the Peace,2016
divan03ivan,Divan,2003
diverge14gent,Divergent,2014
divinea15cess,Divine Access,2015
divines02hood,Divine Secrets of the Ya-Ya Sisterhood,2002
djangou12ined,Django Unchained,2012
dnevnoy06ozor,Dnevnoy dozor,2006
do-deca12hlon,The Do-Deca-Pentathlon,2012
doa:dea06live,DOA: Dead or Alive,2006
doctors02leep,Doctor Sleep,2002
doctors16ange,Doctor Strange,2016
documen13nted,Documented,2013
dodgeba04tory,Dodgeball: A True Underdog Story,2004
dodookd12deul,Dodookdeul,2012
dodsno09dsno,Død snø,2009
dodsno214sno2,Død snø 2,2014
dogi13dogi,The Dog,2013
doglove06hony,Dog Lover's Symphony,2006
doglove16over,The Dog Lover,2016
dogtown01boys,Dogtown and Z-Boys,2001
dogvill03ille,Dogville,2003
dogwalk02lker,The Dogwalker,2002
dogwalk99lker,The Dogwalker,1999
dogwedd15ding,The Dog Wedding,2015
doingti97line,Doing Time for Patsy Cline,1997
doisoun14gay?,Do I Sound Gay?,2014
doknotd09turb,Do Knot Disturb,2009
dolls02olls,Dolls,2002
dolphin11tale,Dolphin Tale,2011
dolphin14ale2,Dolphin Tale 2,2014
domaine09aine,Domaine,2009
domdura02akov,Dom durakov,2002
domesti01ance,Domestic Disturbance,2001
domhemi13gway,Dom Hemingway,2013
dominio05cist,Dominion: Prequel to the Exorcist,2005
domino05mino,Domino,2005
domover12dman,Dom över död man,2012
don'tbl15rank,Don't Blink - Robert Frank,2015
don'tbr16athe,Don't Breathe,2016
don'tco05king,Don't Come Knocking,2005
don'tgo10oods,Don't Go in the Woods,2010
don'tsa01word,Don't Say a Word,2001
don'tst12rney,Don't Stop Believin': Everyman's Journey,2012
don'tth14roll,Don't Think I've Forgotten: Cambodia's Lost Rock & Roll,2014
don'tth16wice,Don't Think Twice,2016
don211don2,Don 2,2011
dong-ch13aeng,Dong-chang-saeng,2013
donjon13njon,Don Jon,2013
donkeyp08unch,Donkey Punch,2008
donmcka09ckay,Don McKay,2009
donne-m08main,Donne-moi la main,2008
donnied01arko,Donnie Darko,2001
donotre16sist,Do Not Resist,2016
donverd15dean,Don Verdean,2015
doogal06ogal,Doogal,2006
doom05doom,Doom,2005
doomsda08sday,Doomsday,2008
doorint04loor,The Door in the Floor,2004
doors:w09ange,The Doors: When You're Strange,2009
dopamin03mine,Dopamine,2003
dope15dope,Dope,2015
dopomez04otte,Dopo mezzanotte,2004
dorfman11fman,Dorfman,2011
dorianb04lues,Dorian Blues,2004
dostana08tana,Dostana,2008
dotthei03thei,Dot the I,2003
double13uble,The Double,2013
doubled11maal,Double Dhamaal,2011
doublei11blei,The Double,2011
doublet01take,Double Take,2001
doublet09take,Double Take,2009
doubti08ubti,Doubt,2008
doucheb10ebag,Douchebag,2010
doufosi07osin,Dou fo sin,2007
dough15ough,Dough,2015
downand01olls,Down and Out with the Dolls,2001
downand05erby,Down and Derby,2005
downint05lley,Down in the Valley,2005
downloa08ancy,Downloading Nancy,2008
downloa13aded,Downloaded,2013
downter09race,Down Terrace,2009
downthe11hore,Down the Shore,2011
downtoe01arth,Down to Earth,2001
downtot04bone,Down to the Bone,2004
downtow04tale,Downtown: A Street Tale,2004
downtow11ress,Downtown Express,2011
downtoy00oyou,Down to You,2000
downwit03love,Down with Love,2003
doyoube15eve?,Do You Believe?,2015
dr.bron06pbox,Dr. Bronner's Magic Soapbox,2006
dr.cabb14bbie,Dr. Cabbie,2014
dr.doli01tle2,Dr. Dolittle 2,2001
dr.t&th00omen,Dr. T & the Women,2000
dracula002000,Dracula 2000,2000
dracula02iary,Dracula: Pages from a Virgin's Diary,2002
dracula12la3d,Dracula 3D,2012
dracula14told,Dracula Untold,2014
draftda14dayi,Draft Day,2014
dragmet09hell,Drag Me to Hell,2009
dragonb09tion,Dragonball Evolution,2009
dragonb13kami,Dragon Ball Z: Doragon bôru Z - Kami to Kami,2013
dragonb15o'f',Dragon Ball Z: Doragon bôru Z - Fukkatsu no 'F',2015
dragonf02nfly,Dragonfly,2002
drama/m06/mex,Drama/Mex,2006
drawing05int9,Drawing Restraint 9,2005
dreamca03cher,Dreamcatcher,2003
dreamer03mers,The Dreamers,2003
dreamer05tory,Dreamer: Inspired by a True Story,2005
dreamgi06irls,Dreamgirls,2006
dreamho11ouse,Dream House,2011
dreamin05hasa,Dreaming Lhasa,2005
dreamki10ller,Dreamkiller,2010
dreamla06andi,Dreamland,2006
dreamso12life,Dreams of a Life,2011
dreamsr15ired,Dreams Rewired,2015
dredd12redd,Dredd,2012
dressma15keri,The Dressmaker,2015
drew:th13ster,Drew: The Man Behind the Poster,2013
drillbi08ylor,Drillbit Taylor,2008
drinkin13dies,Drinking Buddies,2013
drivean11ngry,Drive Angry,2011
drivei11ivei,Drive,2011
driven01iven,Driven,2001
driving06sons,Driving Lessons,2006
drolede00elix,Drôle de Félix,2000
drool09rool,Drool,2009
drop14drop,The Drop,2014
drowni15owni,Drown,2015
drownin00mona,Drowning Mona,2000
drumlin02line,Drumline,2002
drunkwe15ding,Drunk Wedding,2015
dryland10land,The Dry Land,2010
dtrain15rain,The D Train,2015
duaneho05wood,Duane Hopwood,2005
duchess08hess,The Duchess,2008
duck05duck,Duck,2005
"dude,wh00car?","Dude, Where's My Car?",2000
duedate10date,Due Date,2010
duelyan16yant,Duelyant,2016
duets00uets,Duets,2000
duff15duff,The DUFF,2015
dukeofb14undy,The Duke of Burgundy,2014
dukes07ukes,The Dukes,2007
dukesof05zard,The Dukes of Hazzard,2005
dulevan07ande,Du levande,2007
duma05duma,Duma,2005
dumband03loyd,Dumb and Dumberer: When Harry Met Lloyd,2003
dumband14erto,Dumb and Dumber To,2014
dumbstr10ruck,Dumbstruck,2010
dummy02ummy,Dummy,2002
dungeon00gons,Dungeons & Dragons,2000
dupadea12luri,Dupa dealuri,2012
duplex03plex,Duplex,2003
duplici09city,Duplicity,2009
dustfac04tory,The Dust Factory,2004
dusttog05lory,Dust to Glory,2005
duzezwi00erze,Duze zwierze,2000
duzhan12zhan,Du zhan,2012
dyingg05auli,The Dying Gaul,2005
dylando11ight,Dylan Dog: Dead of Night,2010
dysfunk03mily,DysFunktional Family,2003
eagle11agle,The Eagle,2011
eagleey08eeye,Eagle Eye,2008
eaglehu16ress,The Eagle Huntress,2016
eaglevs07hark,Eagle vs Shark,2007
eames:t11nter,Eames: The Architect & The Painter,2011
earth07arth,Earth,2007
earthda09days,Earth Days,2009
earthto14echo,Earth to Echo,2014
east13east,The East,2013
eastbro06dway,East Broadway,2006
eastern07ises,Eastern Promises,2007
eastern13boys,Eastern Boys,2013
eastof06vana,East of Havana,2006
easy03easy,Easy,2003
easya10asya,Easy A,2010
easyvir08rtue,Easy Virtue,2008
eatingo04outi,Eating Out,2004
eatingo06onds,Eating Out 2: Sloppy Seconds,2006
eatpray10love,Eat Pray Love,2010
eatthat16ords,Eat That Question: Frank Zappa in His Own Words,2016
eatthis04york,Eat This New York,2004
ebanand00rley,Eban and Charley,2000
echelon09racy,Echelon Conspiracy,2009
eclipse09ipse,The Eclipse,2009
ecrivai04nd'o,Écrivain d'O,2004
edc201314csky,EDC 2013: Under the Electric Sky,2014
eddie12ddie,Eddie,2012
eddieth16agle,Eddie the Eagle,2016
eden08eden,Eden,2008
edenlak08lake,Eden Lake,2008
edgeofd10ness,Edge of Darkness,2010
edgeofs16teen,The Edge of Seventeen,2016
edgeoft14rrow,Edge of Tomorrow,2014
edgeofw16nter,Edge of Winter,2016
edmond05mond,Edmond,2005
educati07anks,The Education of Charlie Banks,2007
edwinbo11boyd,Edwin Boyd,2011
efesbey14nosh,Efes beyahasei enosh,2014
effiegr14gray,Effie Gray,2014
efterbr06ppet,Efter brylluppet,2006
eguntia15nshi,E gun tian shi,2015
eichma07mann,Eichmann,2007
eightbe06elow,Eight Below,2006
eightcr02ghts,Eight Crazy Nights,2002
eightle02eaks,Eight Legged Freaks,2002
einlebe02agen,Ein Leben lang kurze Hosen tragen,2002
eisenst15uato,Eisenstein in Guanajuato,2015
ekhazar14note,Ek Hazarachi Note,2014
ekkusu96kusu,Ekkusu,1996
eklavya07avya,Eklavya,2007
ekmaina12kktu,Ek Main Aur Ekk Tu,2012
ekspedi13ende,Ekspeditionen til verdens ende,2013
elabraz04tido,El abrazo partido,2004
elabraz15ente,El abrazo de la serpiente,2015
elaines13otme,Elaine Stritch: Shoot Me,2013
elardor14rdor,El Ardor,2014
elartis12delo,El artista y la modelo,2012
elaura05aura,El aura,2005
elbonae02ense,El bonaerense,2002
elboton15acar,El botón de nácar,2015
elbulli10ress,El Bulli: Cooking in Progress,2010
elcanta06ante,El cantante,2006
elcarte11apos,El cartel de los sapos,2011
elcielo04gira,El cielo gira,2004
elcielo06dido,El cielo dividido,2006
elclan15clan,El Clan,2015
elclub15club,El Club,2015
elcolor06ivos,El color de los olivos,2006
elcrime02maro,El crimen del Padre Amaro,2002
elcriti13tico,El Crítico,2013
elefant12anco,Elefante blanco,2012
elegyi08egyi,Elegy,2008
elektra05ktra,Elektra,2005
elektra10luxx,Elektra Luxx,2010
element12ntal,Elemental,2012
elena11lena,Elena,2011
elenaii12naii,Elena,2012
elephan03hant,Elephant,2003
elephan06king,The Elephant King,2006
elespin01ablo,El espinazo del diablo,2001
elevate11vate,Elevate,2011
elevenm08utes,Eleven Minutes,2008
elf03elf,Elf,2003
elhijod01ovia,El hijo de la novia,2001
elizabe05town,Elizabethtown,2005
elizabe07nage,Elizabeth: The Golden Age,2007
ellaber06auno,El laberinto del fauno,2006
ellaenc04nted,Ella Enchanted,2004
elleest03tres,Elle est des nôtres,2003
ellei16llei,Elle,2016
elles'a10arah,Elle s'appelait Sarah,2010
elles'e13enva,Elle s'en va,2013
elles11lles,Elles,2011
elleyto02yton,El Leyton,2002
elliepa05rker,Ellie Parker,2005
elling01ling,Elling,2001
elmetod05todo,El método,2005
elninoi14inoi,El Niño,2014
elogede01mour,Éloge de l'amour,2001
elorfan07nato,El orfanato,2007
elreyde16once,El rey del Once,2016
elsa&fr14fred,Elsa & Fred,2014
elsayfr05fred,Elsa y Fred,2005
elsecre09ojos,El secreto de sus ojos,2009
elsicar10m164,"El Sicario, Room 164",2010
elskerd02vigt,Elsker dig for evigt,2002
elstree151976,Elstree 1976,2015
eltelon05ucar,El telón de azúcar,2005
elvelad11ador,El Velador,2011
elvis&n16ixon,Elvis & Nixon,2016
elysium13iumi,Elysium,2013
emile03mile,Emile,2003
emmanue05gift,Emmanuel's Gift,2005
empathy03athy,Empathy,2003
emperor00oove,The Emperor's New Groove,2000
emperor01thes,The Emperor's New Clothes,2001
emperor02club,The Emperor's Club,2002
emperor12eror,Emperor,2012
empire02pire,Empire,2002
empirei06rica,The Empire in Africa,2006
employe06onth,Employee of the Month,2006
emporte99-moi,Emporte-moi,1999
emptyin13kies,Emptying the Skies,2013
enchant07nted,Enchanted,2007
encount07orld,Encounters at the End of the World,2007
ender's13game,Ender's Game,2013
endgame09amei,Endgame,2009
endless14love,Endless Love,2014
endoflo12love,The End of Love,2012
endofth03tury,End of the Century,2003
endofth05pear,End of the Spear,2005
endofth15tour,The End of the Tour,2015
endofwa12atch,End of Watch,2012
enduran00tion,The Endurance: Shackleton's Legendary Antarctic Expedition,2000
endurin04love,Enduring Love,2004
enduvas14aron,En duva satt på en gren och funderade på tillvaron,2014
enelhoy06oyoi,En el hoyo,2006
enemies00hter,Enemies of Laughter,2000
enemy13nemy,Enemy,2013
enemyat01ates,Enemy at the Gates,2001
engansk10mann,En ganske snill mann,2010
english13cher,The English Teacher,2013
enigma01igma,Enigma,2001
enkonge12aere,En kongelig affære,2012
"enmai,f02lait","En mai, fais ce qu'il te plaît",2002
enmanso15rove,En man som heter Ove,2015
enoughi02ughi,Enough,2002
enoughs13said,Enough Said,2013
enron:t05room,Enron: The Smartest Guys in the Room,2005
ensangf01rtin,En sång för Martin,2001
ensoap06soap,En soap,2006
enterta15ment,Entertainment,2015
enterth09void,Enter the Void,2009
enterth13mind,Enter the Dangerous Mind,2013
entoura15rage,Entourage,2015
entrele08murs,Entre les murs,2008
entrele12bras,Entre les Bras,2012
envy04envy,Envy,2004
epic13epic,Epic,2013
epicmov07ovie,Epic Movie,2007
equaliz14izer,The Equalizer,2014
equals15uals,Equals,2015
equilib02rium,Equilibrium,2002
equity16uity,Equity,2016
eragon06agon,Eragon,2006
erased12ased,Erased,2012
eraumav12nica,"Era Uma Vez Eu, Verônica",2012
erinbro00vich,Erin Brockovich,2000
erneste12tine,Ernest et Célestine,2012
eros04eros,Eros,2004
ershich08ngji,Er shi si cheng ji,2008
escaflo00owne,Escaflowne,2000
escapef12care,Escape Fire: The Fight to Rescue American Healthcare,2012
escapef13arth,Escape from Planet Earth,2013
escapef13rrow,Escape from Tomorrow,2013
escapep13plan,Escape Plan,2013
escapis08pist,The Escapist,2008
escobar14lost,Escobar: Paradise Lost,2014
esmeral03dero,Esmeraldero,2003
estherk00kahn,Esther Kahn,2000
eternal04mind,Eternal Sunshine of the Spotless Mind,2004
eternal04rnal,Eternal,2004
eternit14ovie,Eternity: The Movie,2014
ethanma04nmao,Ethan Mao,2004
etmaint11aou?,Et maintenant on va où?,2011
etreeta02voir,Être et avoir,2002
etsionv11ble?,Et si on vivait tous ensemble?,2011
etthali04arta,Ett hål i mitt hjärta,2004
etzlimo08imon,Etz Limon,2008
eucandv10uier,"Eu cand vreau sa fluier, fluier",2010
eulogy04logy,Eulogy,2004
europar13port,Europa Report,2013
eurotri04trip,EuroTrip,2004
eutuele00eles,Eu Tu Eles,2000
evahess16esse,Eva Hesse,2016
evai11evai,Eva,2011
evanalm07ghty,Evan Almighty,2007
evanger09n:ha,Evangerion shin gekijôban: Ha,2009
evelyn02elyn,Evelyn,2002
evening07ning,Evening,2007
evenmon06neyi,Even Money,2006
event03vent,The Event,2003
everest15rest,Everest,2015
evergre04reen,Evergreen,2004
evergre13gton,Evergreen: The Road to Legalization in Washington,2013
everly14erly,Everly,2014
evertbo07lian,Everybody Wants to Be Italian,2007
everybo01ine!,Everybody Says I'm Fine!,2001
everybo09fine,Everybody's Fine,2009
everybo16me!!,Everybody Wants Some!!,2016
everyda10yday,Every Day,2010
everyla14hild,Every Last Child,2014
everyli08step,Every Little Step,2008
everyon06hero,Everyone's Hero,2006
everyse14hing,Every Secret Thing,2014
everyth00ther,Everything Put Together,2000
everyth05ated,Everything Is Illuminated,2005
everyth06reen,Everything's Gone Green,2006
everyth07cool,Everything's Cool,2007
everyth10stgo,Everything Must Go,2010
everyth15fine,Every Thing Will Be Fine,2015
evildea13dead,Evil Dead,2013
evoacte12ovie,Évocateur: The Morton Downey Jr. Movie,2012
evoluti01tion,Evolution,2001
evoluti14inal,Evolution of a Criminal,2014
evoluti15tion,Évolution,2015
examine08life,Examined Life,2008
excusem12ving,Excuse Me for Living,2012
executi02jean,The Execution of Wanda Jean,2002
exhibit13tion,Exhibition,2013
exitthr10shop,Exit Through the Gift Shop,2010
exitwou01unds,Exit Wounds,2001
exmachi14hina,Ex Machina,2014
exodus:14ings,Exodus: Gods and Kings,2014
exorcis04ning,Exorcist: The Beginning,2004
exorcis05rose,The Exorcism of Emily Rose,2005
expelle08owed,Expelled: No Intelligence Allowed,2008
expenda10bles,The Expendables,2010
expenda12les2,The Expendables 2,2012
expenda14les3,The Expendables 3,2014
experim15nter,Experimenter,2015
expired07ired,Expired,2007
explici08ills,Explicit Ills,2008
explodi09girl,The Exploding Girl,2009
exporti10mond,Exporting Raymond,2010
exposed16diii,Exposed,2016
express08ress,The Express,2008
extract09ract,Extract,2009
extract15onii,Extraction,2015
extrama10aman,The Extra Man,2010
extraor10ures,Extraordinary Measures,2010
extraor13ales,Extraordinary Tales,2013
extreme01days,Extremedays,2001
extreme02eops,Extreme Ops,2002
extreme08ovie,Extreme Movie,2008
extreme11lose,Extremely Loud & Incredibly Close,2011
eye08eye,The Eye,2008
eyeinth15esky,Eye in the Sky,2015
eyeofth06phin,Eye of the Dolphin,2006
eyeofth11torm,The Eye of the Storm,2011
eyeofth99lder,Eye of the Beholder,1999
eyesofm16ther,The Eyes of My Mother,2016
eyesoft00faye,The Eyes of Tammy Faye,2000
eyeswid10open,Eyes Wide Open,2010
faayeun00inwa,Faa yeung nin wa,2000
fabled02bled,Fabled,2002
faceofl13love,The Face of Love,2013
facingt06ants,Facing the Giants,2006
factory06girl,Factory Girl,2006
factotu05otum,Factotum,2005
fadetob04lack,Fade to Black,2004
fadingg13golo,Fading Gigolo,2013
fadingo08ries,Fading of the Cries,2008
fados07ados,Fados,2007
fahrenh049/11,Fahrenheit 9/11,2004
fahtala00jone,Fah talai jone,2000
failure06unch,Failure to Launch,2006
fairgam10amei,Fair Game,2010
faitco13ions,Faith Connections,2013
faithof15hers,Faith of Our Fathers,2015
fakers04kers,Fakers,2004
falconr14sing,Falcon Rising,2014
fall06fall,The Fall,2006
falleni06leni,Fallen,2006
falling09wake,Falling Awake,2009
falling14ling,The Falling,2014
falloff05mori,The Fall of Fujimori,2005
fame09fame,Fame,2009
famegpa11faen,"Få meg på, for faen",2011
familia04ante,Familia rodante,2004
familya01fair,A Family Affair,2001
familyf02tals,Family Fundamentals,2002
familyf15fang,The Family Fang,2015
familyi13ilyi,The Family,2013
familym00yman,The Family Man,2000
familyp11hite,Family Portrait in Black and White,2011
familys05tone,The Family Stone,2005
familyt08reys,The Family That Preys,2008
familyt11tree,The Family Tree,2011
famousn14than,Famous Nathan,2014
fanaa06anaa,Fanaa,2006
fanboys09boys,Fanboys,2009
fanfanl03lipe,Fanfan la Tulipe,2003
fani16fani,Fan,2016
fanny13anny,Fanny,2013
fantasi992000,Fantasia 2000,1999
fantast05ouri,Fantastic Four,2005
fantast09.fox,Fantastic Mr. Fox,2009
fantast12hing,A Fantastic Fear of Everything,2012
fantast15four,Fantastic Four,2015
fantast16them,Fantastic Beasts and Where to Find Them,2016
fantast95icks,The Fantasticks,1995
faqs05faqs,FAQs,2005
farewel13ools,A Farewell to Fools,2013
farewel13wood,Farewell to Hollywood,2013
farfrom02aven,Far from Heaven,2002
farfrom15rowd,Far from the Madding Crowd,2015
farmage11ddon,Farmageddon,2011
farouti12tory,Far Out Isn't Far Enough: The Tomi Ungerer Story,2012
fascina04tion,Fascination,2004
fast&fu09ious,Fast & Furious,2009
fastand01ious,The Fast and the Furious,2001
fastand06rift,The Fast and the Furious: Tokyo Drift,2006
faster04ster,Faster,2003
faster10ster,Faster,2010
fastfiv11five,Fast Five,2011
fastfoo00omen,Fast Food Fast Women,2000
fastfoo06tion,Fast Food Nation,2006
fasttra06rack,Fast Track,2006
fatalbe04bert,Fat Albert,2004
fatgirl06irls,Fat Girls,2006
fathers15ters,Fathers & Daughters,2015
fatimai15imai,Fatima,2015
fatkidr12orld,Fat Kid Rules the World,2012
faubour08rg36,Faubourg 36,2008
faultin14tars,The Fault in Our Stars,2014
faustii11tiii,Faust,2011
fauteu06stre,Fauteuils d'orchestre,2006
favelar05sing,Favela Rising,2005
faygrim06grim,Fay Grim,2006
feardot02tcom,Feardotcom,2002
feast05east,Feast,2005
feastof07love,Feast of Love,2007
fedup14edup,Fed Up,2014
feelthe07oise,Feel the Noise,2007
feheris14sten,Fehér isten,2014
feherte06nyer,Fehér tenyér,2006
feichan13gyun,Fei chang xing yun,2013
felixet14eira,Félix et Meira,2014
fellini02teur,Fellini: Je suis un grand menteur,2002
felt14felt,Felt,2014
femmefa02tale,Femme Fatale,2002
fences16nces,Fences,2016
fengshe16bang,Feng shen bang,2016
fenshou13eyue,Fen shou he yue,2013
fenshou14ashi,Fen shou da shi,2014
ferling09ight,Ferlinghetti: A City Light,2009
festiva01nnes,Festival in Cannes,2001
festiva03ress,Festival Express,2003
feuchtg13iete,Feuchtgebiete,2013
feuxrou04uges,Feux rouges,2004
feverpi05itch,Fever Pitch,2005
fiance16ance,The Fiancé,2016
fidel02idel,Fidel,2001
fido06fido,Fido,2006
fieldin13land,A Field in England,2013
fierceg12fire,A Fierce Green Fire,2012
fiercep05ople,Fierce People,2005
fifiazk13shad,Fifi az khoshhali zooze mikeshad,2013
fifthes13tate,The Fifth Estate,2013
fiftysh15grey,Fifty Shades of Grey,2015
fiftysh16lack,Fifty Shades of Black,2016
fighter00hter,Fighter,2000
fighter10teri,The Fighter,2010
fightin03ions,The Fighting Temptations,2003
fightin04iley,Fighting Tommy Riley,2004
fightin07ords,Fighting Words,2007
fightin08life,Fighting for Life,2008
fightin09ting,Fighting,2009
fightwi16thin,The Fight Within,2016
fillybr12rown,Filly Brown,2012
filmgee05geek,Film Geek,2005
filmist12taan,Filmistaan,2012
filmsoc10isme,Film socialisme,2010
filthan00fury,The Filth and the Fury,2000
filthan08sdom,Filth and Wisdom,2008
filthi13lthi,Filth,2013
finalcu04lcut,The Final Cut,2004
finalde00tion,Final Destination,2000
finalde03ion2,Final Destination 2,2003
finalde06ion3,Final Destination 3,2006
finalde09tion,The Final Destination,2009
finalde11ion5,Final Destination 5,2011
finalfa01thin,Final Fantasy: The Spirits Within,2001
finalgi15girl,Final Girl,2015
finalgi15irls,The Final Girls,2015
finalme12mber,The Final Member,2012
finalse07ason,The Final Season,2007
finders15ersi,Finders Keepers,2015
finding00ster,Finding Forrester,2000
finding03home,Finding Home,2003
finding03nemo,Finding Nemo,2003
finding04land,Finding Neverland,2004
finding08anda,Finding Amanda,2008
finding09liss,Finding Bliss,2009
finding11gjoe,Finding Joe,2011
finding13aier,Finding Vivian Maier,2013
finding14anny,Finding Fanny,2014
finding14ela!,Finding Fela!,2014
finding16dory,Finding Dory,2016
findmeg06ilty,Find Me Guilty,2006
finesth16ours,The Finest Hours,2016
finishi07elee,Finishing the Game: The Search for a New Bruce Lee,2007
fired!07red!,Fired!,2007
firedan02ncer,Fire Dancer,2002
firedup09dup!,Fired Up!,2009
firefli08rden,Fireflies in the Garden,2008
firehou07edog,Firehouse Dog,2007
fireint13lood,Fire in the Blood,2013
firepro08roof,Fireproof,2008
firewal06wall,Firewall,2006
first$202dest,The First $20 Million Is Always the Hardest,2002
firstba08sket,The First Basket,2008
firstda04hter,First Daughter,2004
firstde05cent,First Descent,2005
firstgr10ader,The First Grader,2010
firstmo16nmay,The First Monday in May,2016
firstpo11tion,First Position,2011
firstsa07nmay,The First Saturday in May,2007
firstsn06snow,First Snow,2006
firstsu08nday,First Sunday,2008
firstti12imei,The First Time,2012
fishtan09tank,Fish Tank,2009
fishwit03ycle,Fish Without a Bicycle,2003
fitoor16toor,Fitoor,2016
fits15fits,The Fits,2015
fitzger12tmas,The Fitzgerald Family Christmas,2012
five-ye12ment,The Five-Year Engagement,2012
fivebro11eras,Five Broken Cameras,2011
fivedan13nces,Five Dances,2013
fivemin09aven,Five Minutes of Heaven,2009
fivenig15aine,Five Nights in Maine,2015
fivesen99nses,The Five Senses,1999
fixi08fixi,Fix,2008
flagsof06hers,Flags of Our Fathers,2006
flakes07akes,Flakes,2007
flamenc10enco,"Flamenco, Flamenco",2010
flammen08onen,Flammen & Citronen,2008
flandre06dres,Flandres,2006
flannel06amas,Flannel Pajamas,2006
flashof08nius,Flash of Genius,2008
flat11flat,The Flat,2011
flavors03vors,Flavors,2003
flawles07less,Flawless,2007
flexisk13ings,Flex is Kings,2013
flicka06icka,Flicka,2006
flickan09ckan,Flickan,2009
flickan09lden,Flickan som lekte med elden,2009
flighti12ghti,Flight,2012
flighto04enix,Flight of the Phoenix,2004
flightp05plan,Flightplan,2005
flintst00egas,The Flintstones in Viva Rock Vegas,2000
flipped10pedi,Flipped,2010
flockof16udes,Flock of Dudes,2016
florenc16kins,Florence Foster Jenkins,2016
floresr13aras,Flores Raras,2013
flow:fo08ater,Flow: For Love of Water,2008
fluffer01ffer,The Fluffer,2001
fluffym14hter,The Fluffy Movie: Unity Through Laughter,2014
flushed06away,Flushed Away,2006
flyboys06boys,Flyboys,2006
flyings06sman,The Flying Scotsman,2006
flymeto08moon,Fly Me to the Moon,2008
flypape11aper,Flypaper,2011
focusi01cusi,Focus,2001
focusii15usii,Focus,2015
fog05fog,The Fog,2005
fogofwa03mara,The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,2003
followm12tory,Follow Me: The Yoni Netanyahu Story,2012
fongjuk06gjuk,Fong juk,2006
"food,in08inc.","Food, Inc.",2008
foodofl02love,Food of Love,2002
fool'sg08oldi,Fool's Gold,2008
footfis06tway,The Foot Fist Way,2006
footloo11oose,Footloose,2011
forafew16lets,For a Few Bullets,2016
foragoo12l...,"For a Good Time, Call...",2012
forbidd08gdom,The Forbidden Kingdom,2008
forbidd15room,The Forbidden Room,2015
forcess11ales,Forces spéciales,2011
forcolo10irls,For Colored Girls,2010
forecas14ster,The Forecaster,2014
foreign03fair,A Foreign Affair,2003
forelle12llen,For Ellen,2012
foresti16esti,The Forest,2016
forever08rong,Forever Strong,2008
forever15erii,Forever,2015
forgetb02tion,Forget Baghdad: Jews and Arabs - The Iraqi Connection,2002
forgett08hall,Forgetting Sarah Marshall,2008
forgive11lood,The Forgiveness of Blood,2011
forgivi06gele,Forgiving Dr. Mengele,2006
forgott04tten,The Forgotten,2004
forgrea12iada,For Greater Glory: The True Story of Cristiada,2012
forksov11ives,Forks Over Knives,2011
formosa09ayed,Formosa Betrayed,2009
fornogo12ason,For No Good Reason,2012
forsake01aken,The Forsaken,2001
forsake15keni,Forsaken,2015
fortheb07meso,For the Bible Tells Me So,2007
forthel16pock,For the Love of Spock,2016
fortmcc11ccoy,Fort McCoy,2011
fortysh05blue,Forty Shades of Blue,2005
foryour06tion,For Your Consideration,2006
fostsau06ost?,A fost sau n-a fost?,2006
fountai06tain,The Fountain,2006
fourbro05hers,Four Brothers,2005
